rank,hours
10021,1137
10020,1885
10019,551
10018,1156
10017,1957
10015,1243
10014,640
10012,614
10010,1178
10009,788
10007,836
10005,1130
10004,784
10003,602
10002,1910
10001,944
10000,297
9999,1483
9998,1033
9996,1609
9995,631
9994,853
9993,986
9991,1446
9988,905
9988,1515
9987,940
9986,868
9985,722
9984,1157
9984,2031
9983,975
9982,1846
9981,728
9980,694
9979,851
9977,783
9976,700
9975,616
9974,491
9973,983
9972,947
9972,602
9971,1617
9970,846
9968,489
9966,747
9965,1107
9964,1051
9963,732
9962,694
9961,589
9960,992
9959,1469
9958,614
9957,300
9956,895
9955,1045
9954,851
9953,1093
9952,1482
9951,888
9950,948
9949,1109
9948,1052
9948,987
9947,699
9946,656
9945,858
9942,1680
9941,683
9940,548
9939,640
9938,1218
9937,419
9936,1385
9935,1145
9934,527
9933,814
9933,1204
9931,935
9930,1621
9929,1771
9929,954
9927,1447
9926,1245
9924,1436
9923,1065
9922,1162
9921,1245
9920,705
9920,1038
9919,795
9918,941
9916,1183
9915,695
9914,460
9913,657
9912,1201
9911,1240
9910,1363
9909,840
9908,856
9906,494
9906,1510
9904,426
9903,944
9903,225
9902,1192
9901,722
9900,1020
9899,948
9898,931
9897,962
9896,1712
9895,992
9894,692
9893,398
9892,854
9891,497
9890,831
9888,1968
9887,1189
9886,1001
9885,776
9884,887
9883,785
9883,1287
9882,525
9881,1984
9880,1492
9879,1215
9878,2200
9877,1037
9875,1347
9874,1726
9874,790
9873,1394
9872,1169
9868,895
9867,1012
9866,1439
9865,889
9864,643
9863,853
9863,702
9861,1004
9861,992
9860,838
9858,1433
9857,1255
9855,931
9854,996
9853,956
9852,654
9850,836
9850,989
9849,1245
9847,841
9846,1244
9844,1149
9843,1254
9842,902
9841,1166
9840,1727
9840,715
9839,764
9838,1445
9836,1289
9835,1133
9834,1750
9833,573
9832,881
9831,1066
9831,1253
9830,1205
9829,2145
9828,1208
9826,1175
9825,1101
9823,2074
9822,1051
9821,928
9820,1083
9819,1205
9819,1074
9818,657
9818,2289
9817,533
9815,1260
9813,1207
9812,1526
9811,711
9810,1199
9809,254
9808,879
9807,655
9806,1207
9805,707
9804,482
9803,868
9802,1289
9801,672
9800,977
9799,897
9798,672
9796,774
9795,742
9794,1169
9793,651
9792,1440
9791,453
9790,1066
9789,1406
9788,510
9787,904
9786,1139
9785,1886
9784,1614
9783,819
9782,992
9781,466
9780,1323
9778,763
9777,945
9776,959
9775,1164
9774,493
9773,1247
9772,1060
9771,1373
9770,1763
9769,955
9768,2288
9767,2003
9766,783
9765,791
9765,1913
9764,507
9763,1393
9762,1338
9760,1208
9759,1228
9758,824
9757,1107
9756,1557
9755,1873
9754,1286
9753,610
9752,480
9751,1110
9750,930
9749,1334
9747,764
9746,363
9745,1421
9744,1357
9743,1574
9742,1577
9741,872
9739,938
9739,708
9738,679
9737,719
9736,618
9734,1115
9733,1560
9732,1431
9731,870
9731,772
9730,786
9728,1900
9727,478
9726,1744
9725,728
9725,734
9724,1718
9724,1307
9722,1330
9721,797
9720,1129
9719,607
9719,1174
9718,734
9716,2273
9714,1154
9713,912
9712,1407
9711,1040
9710,983
9708,767
9706,1088
9705,913
9705,1379
9704,1078
9703,1580
9701,1163
9700,1514
9699,630
9698,1191
9697,449
9696,1137
9694,859
9694,806
9692,1275
9690,428
9689,1567
9688,1323
9687,592
9686,1116
9685,422
9684,1116
9683,1463
9682,1786
9681,1354
9680,950
9679,588
9678,1449
9678,564
9677,773
9676,322
9674,841
9673,1423
9672,1238
9671,803
9670,2507
9669,785
9668,711
9667,1283
9667,487
9666,1813
9665,1110
9664,1058
9663,1524
9662,978
9661,1594
9660,715
9659,1129
9658,541
9657,2250
9656,1073
9654,1235
9653,1195
9651,1076
9650,690
9649,849
9647,685
9646,1228
9645,1497
9644,906
9643,667
9642,1053
9641,760
9640,1045
9639,1099
9638,1419
9637,1315
9636,1092
9635,779
9634,727
9633,1254
9632,1632
9631,1052
9630,1459
9629,854
9628,1435
9627,691
9626,325
9625,1213
9624,786
9623,1213
9622,2295
9621,401
9620,1561
9619,1010
9617,1554
9616,1882
9615,1489
9614,1123
9613,1353
9612,607
9610,335
9609,561
9607,1089
9606,1023
9605,644
9604,1394
9603,1251
9602,1079
9601,1089
9600,1344
9599,1189
9599,863
9598,1790
9597,510
9596,577
9595,604
9595,1367
9594,2428
9593,972
9592,919
9591,1834
9589,1564
9587,675
9586,1004
9585,663
9585,1925
9584,1309
9583,880
9582,814
9581,1643
9579,874
9577,1653
9575,588
9574,988
9574,1434
9573,697
9572,1796
9571,774
9569,905
9568,779
9567,987
9566,206
9564,1641
9563,971
9562,1160
9561,1504
9560,972
9559,1029
9558,1069
9557,993
9556,1061
9555,766
9554,1030
9553,325
9552,970
9551,1071
9550,900
9549,743
9548,927
9547,1037
9546,1413
9546,1669
9545,4443
9544,761
9542,2139
9541,1950
9540,1108
9539,600
9538,650
9537,1364
9536,909
9535,1119
9534,1241
9533,1408
9532,900
9532,472
9531,1208
9530,439
9528,1319
9527,676
9526,1258
9525,739
9524,1077
9523,962
9522,1540
9521,791
9520,628
9519,382
9518,1047
9517,1535
9517,891
9516,791
9515,1247
9513,796
9512,732
9511,587
9510,596
9509,857
9507,1230
9506,605
9506,506
9505,1324
9504,1095
9502,2013
9501,2778
9500,867
9499,1198
9498,1092
9497,1830
9496,1343
9495,310
9494,663
9493,915
9492,815
9492,2920
9491,1124
9490,2156
9489,1356
9487,632
9486,583
9485,1103
9485,960
9483,1081
9482,1265
9481,771
9480,885
9479,1114
9478,602
9477,1460
9476,1939
9475,814
9474,769
9473,2476
